sku_id,warehouse,opening_stock,closing_stock,units_sold,units_received,reorder_point
SKU_033,Delhi NCR,375,382,282,289,211
SKU_033,Mumbai,736,740,247,251,110
SKU_033,Bengaluru,909,890,261,242,109
SKU_034,Delhi NCR,970,964,251,245,87
SKU_034,Mumbai,364,320,303,259,179
SKU_034,Bengaluru,1013,1096,270,353,195
SKU_035,Delhi NCR,431,458,266,293,143
SKU_035,Mumbai,190,265,278,353,248
SKU_035,Bengaluru,850,948,266,364,102
SKU_036,Delhi NCR,807,738,349,280,234
SKU_036,Mumbai,661,639,311,289,213
SKU_036,Bengaluru,248,381,244,377,163
SKU_037,Delhi NCR,830,775,326,271,121
SKU_037,Mumbai,699,672,286,259,85
SKU_037,Bengaluru,776,736,314,274,133
SKU_038,Delhi NCR,288,294,274,280,240
SKU_038,Mumbai,360,455,257,352,197
SKU_038,Bengaluru,1029,1034,246,251,197
SKU_039,Delhi NCR,549,501,297,249,95
SKU_039,Mumbai,1123,1014,337,228,144
SKU_039,Bengaluru,537,558,336,357,149
SKU_040,Delhi NCR,889,939,257,307,194
SKU_040,Mumbai,407,400,313,306,97
SKU_040,Bengaluru,240,334,291,385,109
SKU_041,Delhi NCR,315,276,367,328,163
SKU_041,Mumbai,814,968,276,430,225
SKU_041,Bengaluru,433,460,266,293,214
SKU_042,Delhi NCR,448,592,258,402,155
SKU_042,Mumbai,259,330,257,328,216
SKU_042,Bengaluru,323,433,234,344,110
SKU_043,Delhi NCR,1156,1187,295,326,114
SKU_043,Mumbai,931,1089,234,392,187
SKU_043,Bengaluru,503,476,276,249,102
SKU_044,Delhi NCR,573,577,272,276,149
SKU_044,Mumbai,519,492,301,274,213
SKU_044,Bengaluru,678,735,229,286,159
SKU_045,Delhi NCR,819,860,274,315,181
SKU_045,Mumbai,180,137,259,216,185
SKU_045,Bengaluru,421,499,247,325,182
SKU_046,Delhi NCR,978,1137,247,406,159
SKU_046,Mumbai,217,217,246,246,232
SKU_046,Bengaluru,776,873,292,389,236
SKU_047,Delhi NCR,174,148,255,229,208
SKU_047,Mumbai,1170,1180,247,257,214
SKU_047,Bengaluru,701,789,266,354,220
SKU_048,Delhi NCR,486,630,261,405,118
SKU_048,Mumbai,175,169,300,294,82
SKU_048,Bengaluru,379,481,305,407,127
SKU_049,Delhi NCR,686,821,226,361,220
SKU_049,Mumbai,1022,968,318,264,168
SKU_049,Bengaluru,770,757,284,271,245
SKU_050,Delhi NCR,902,964,269,331,91
SKU_050,Mumbai,1038,1062,285,309,225
SKU_050,Bengaluru,590,634,307,351,87
SKU_051,Delhi NCR,153,148,284,279,180
SKU_051,Mumbai,231,206,265,240,241
SKU_051,Bengaluru,942,820,326,204,173
SKU_052,Delhi NCR,324,245,324,245,116
SKU_052,Mumbai,646,546,312,212,139
SKU_052,Bengaluru,337,367,252,282,144
SKU_053,Delhi NCR,240,351,292,403,144
SKU_053,Mumbai,282,253,345,316,225
SKU_053,Bengaluru,914,940,358,384,167
SKU_054,Delhi NCR,891,970,280,359,136
SKU_054,Mumbai,948,977,306,335,102
SKU_054,Bengaluru,1161,1121,288,248,248
SKU_055,Delhi NCR,484,455,238,209,139
SKU_055,Mumbai,205,179,297,271,182
SKU_055,Bengaluru,579,634,260,315,243
SKU_056,Delhi NCR,1113,1222,297,406,248
SKU_056,Mumbai,563,456,347,240,173
SKU_056,Bengaluru,820,819,339,338,90
SKU_057,Delhi NCR,662,622,295,255,88
SKU_057,Mumbai,395,352,274,231,188
SKU_057,Bengaluru,669,744,300,375,90
SKU_058,Delhi NCR,838,872,299,333,205
SKU_058,Mumbai,699,662,245,208,158
SKU_058,Bengaluru,1181,1114,272,205,181
SKU_059,Delhi NCR,1154,1208,331,385,175
SKU_059,Mumbai,608,718,280,390,111
SKU_059,Bengaluru,427,415,287,275,165
SKU_060,Delhi NCR,424,538,216,330,104
SKU_060,Mumbai,1112,1093,287,268,189
SKU_060,Bengaluru,385,378,261,254,237
SKU_061,Delhi NCR,782,861,321,400,188
SKU_061,Mumbai,811,759,322,270,145
SKU_061,Bengaluru,556,700,270,414,171
SKU_062,Delhi NCR,270,249,283,262,249
SKU_062,Mumbai,632,583,248,199,222
SKU_062,Bengaluru,449,328,311,190,195
SKU_063,Delhi NCR,399,395,264,260,224
SKU_063,Mumbai,353,239,359,245,215
SKU_063,Bengaluru,982,922,284,224,241
SKU_064,Delhi NCR,385,426,293,334,238
SKU_064,Mumbai,296,288,294,286,202
SKU_064,Bengaluru,524,495,300,271,109
SKU_065,Delhi NCR,909,952,312,355,104
SKU_065,Mumbai,152,185,280,313,160
SKU_065,Bengaluru,619,632,266,279,201
SKU_066,Delhi NCR,194,114,294,214,123
SKU_066,Mumbai,297,311,321,335,179
SKU_066,Bengaluru,496,478,288,270,85
SKU_067,Delhi NCR,846,845,300,299,86
SKU_067,Mumbai,890,838,309,257,222
SKU_067,Bengaluru,895,864,320,289,182
SKU_068,Delhi NCR,988,995,318,325,186
SKU_068,Mumbai,417,479,277,339,141
SKU_068,Bengaluru,171,158,336,323,148
SKU_069,Delhi NCR,425,544,279,398,90
SKU_069,Mumbai,1152,1296,261,405,92
SKU_069,Bengaluru,340,354,318,332,225
SKU_070,Delhi NCR,759,713,336,290,114
SKU_070,Mumbai,905,864,297,256,99
SKU_070,Bengaluru,695,766,264,335,161
SKU_071,Delhi NCR,696,822,271,397,231
SKU_071,Mumbai,1074,1042,318,286,185
SKU_071,Bengaluru,263,306,367,410,124
SKU_072,Delhi NCR,357,378,296,317,94
SKU_072,Mumbai,1107,1110,263,266,82
SKU_072,Bengaluru,1133,1009,333,209,227
SKU_073,Delhi NCR,428,458,359,389,230
SKU_073,Mumbai,344,310,255,221,126
SKU_073,Bengaluru,884,852,305,273,89
SKU_074,Delhi NCR,1015,1057,264,306,99
SKU_074,Mumbai,345,278,305,238,127
SKU_074,Bengaluru,182,171,319,308,111
SKU_075,Delhi NCR,237,287,307,357,189
SKU_075,Mumbai,519,578,233,292,247
SKU_075,Bengaluru,770,838,296,364,221
SKU_076,Delhi NCR,890,799,352,261,148
SKU_076,Mumbai,599,545,284,230,114
SKU_076,Bengaluru,449,525,305,381,179
SKU_077,Delhi NCR,615,577,270,232,209
SKU_077,Mumbai,644,538,345,239,95
SKU_077,Bengaluru,268,261,308,301,198
SKU_078,Delhi NCR,991,952,289,250,128
SKU_078,Mumbai,1054,1139,329,414,120
SKU_078,Bengaluru,668,783,299,414,136
SKU_079,Delhi NCR,307,268,309,270,103
SKU_079,Mumbai,359,253,334,228,92
SKU_079,Bengaluru,260,252,298,290,170
SKU_080,Delhi NCR,209,283,300,374,91
SKU_080,Mumbai,538,506,311,279,118
SKU_080,Bengaluru,518,444,301,227,168
SKU_081,Delhi NCR,708,765,297,354,134
SKU_081,Mumbai,959,951,233,225,188
SKU_081,Bengaluru,258,287,247,276,119
SKU_082,Delhi NCR,400,356,247,203,188
SKU_082,Mumbai,241,148,305,212,119
SKU_082,Bengaluru,1183,1292,254,363,171
SKU_083,Delhi NCR,687,754,300,367,227
SKU_083,Mumbai,389,326,290,227,161
SKU_083,Bengaluru,1148,1204,256,312,101
SKU_084,Delhi NCR,680,731,349,400,239
SKU_084,Mumbai,912,920,263,271,129
SKU_084,Bengaluru,1040,1026,325,311,131
SKU_085,Delhi NCR,724,684,287,247,134
SKU_085,Mumbai,376,394,329,347,226
SKU_085,Bengaluru,963,1020,262,319,223
SKU_086,Delhi NCR,1016,1060,279,323,123
SKU_086,Mumbai,331,410,289,368,199
SKU_086,Bengaluru,594,652,256,314,92
SKU_087,Delhi NCR,457,331,327,201,103
SKU_087,Mumbai,564,525,267,228,234
SKU_087,Bengaluru,824,786,328,290,119
SKU_088,Delhi NCR,775,712,320,257,192
SKU_088,Mumbai,382,495,299,412,129
SKU_088,Bengaluru,1173,1090,301,218,179
SKU_089,Delhi NCR,1056,1178,250,372,150
SKU_089,Mumbai,439,439,302,302,88
SKU_089,Bengaluru,579,589,321,331,248
SKU_090,Delhi NCR,441,549,285,393,203
SKU_090,Mumbai,921,908,316,303,180
SKU_090,Bengaluru,574,710,282,418,99
SKU_091,Delhi NCR,527,567,301,341,178
SKU_091,Mumbai,1074,1095,268,289,239
SKU_091,Bengaluru,1070,1187,259,376,196
SKU_092,Delhi NCR,1118,1038,274,194,193
SKU_092,Mumbai,429,387,309,267,113
SKU_092,Bengaluru,775,900,234,359,240
SKU_093,Delhi NCR,246,326,299,379,246
SKU_093,Mumbai,890,999,325,434,240
SKU_093,Bengaluru,967,1006,332,371,187
SKU_094,Delhi NCR,691,790,245,344,199
SKU_094,Mumbai,986,964,247,225,100
SKU_094,Bengaluru,150,39,322,211,169
SKU_095,Delhi NCR,492,486,275,269,93
SKU_095,Mumbai,495,630,245,380,209
SKU_095,Bengaluru,161,169,338,346,189
SKU_096,Delhi NCR,1191,1110,351,270,243
SKU_096,Mumbai,450,439,240,229,171
SKU_096,Bengaluru,789,773,343,327,204
SKU_097,Delhi NCR,438,546,267,375,101
SKU_097,Mumbai,745,645,328,228,177
SKU_097,Bengaluru,493,506,337,350,81
SKU_098,Delhi NCR,290,263,242,215,144
SKU_098,Mumbai,589,656,239,306,186
SKU_098,Bengaluru,159,248,278,367,226
SKU_099,Delhi NCR,934,1006,289,361,102
SKU_099,Mumbai,595,531,314,250,183
SKU_099,Bengaluru,414,279,343,208,229
SKU_100,Delhi NCR,1164,1120,288,244,150
SKU_100,Mumbai,288,159,340,211,154
SKU_100,Bengaluru,1188,1213,329,354,158
SKU_101,Delhi NCR,1186,1133,351,298,236
SKU_101,Mumbai,1184,1199,259,274,113
SKU_101,Bengaluru,1004,988,309,293,112
SKU_102,Delhi NCR,652,690,237,275,210
SKU_102,Mumbai,464,458,335,329,141
SKU_102,Bengaluru,778,723,266,211,154
SKU_103,Delhi NCR,808,747,317,256,225
SKU_103,Mumbai,1046,1151,235,340,196
SKU_103,Bengaluru,483,460,308,285,161
SKU_104,Delhi NCR,666,697,249,280,182
SKU_104,Mumbai,1010,1070,254,314,90
SKU_104,Bengaluru,938,997,334,393,120
SKU_105,Delhi NCR,242,386,246,390,173
SKU_105,Mumbai,368,316,321,269,204
SKU_105,Bengaluru,1047,1086,323,362,216
SKU_106,Delhi NCR,987,1090,275,378,115
SKU_106,Mumbai,245,315,315,385,113
SKU_106,Bengaluru,405,411,326,332,192
SKU_107,Delhi NCR,640,717,296,373,183
SKU_107,Mumbai,686,634,326,274,120
SKU_107,Bengaluru,393,380,240,227,236
SKU_108,Delhi NCR,1155,1127,338,310,98
SKU_108,Mumbai,872,955,281,364,116
SKU_108,Bengaluru,1105,1059,313,267,123
SKU_109,Delhi NCR,997,1017,311,331,206
SKU_109,Mumbai,528,629,296,397,176
SKU_109,Bengaluru,415,447,320,352,192
SKU_110,Delhi NCR,916,814,360,258,226
SKU_110,Mumbai,617,541,312,236,222
SKU_110,Bengaluru,1116,1038,300,222,83
SKU_111,Delhi NCR,662,722,356,416,168
SKU_111,Mumbai,904,986,329,411,115
SKU_111,Bengaluru,718,703,335,320,161
SKU_112,Delhi NCR,552,636,239,323,151
SKU_112,Mumbai,444,509,271,336,120
SKU_112,Bengaluru,671,761,273,363,108
SKU_113,Delhi NCR,1196,1335,293,432,128
SKU_113,Mumbai,862,877,330,345,196
SKU_113,Bengaluru,1014,966,350,302,108
SKU_114,Delhi NCR,1191,1167,296,272,198
SKU_114,Mumbai,918,820,335,237,215
SKU_114,Bengaluru,1035,1058,306,329,124
SKU_115,Delhi NCR,826,858,353,385,115
SKU_115,Mumbai,393,372,267,246,105
SKU_115,Bengaluru,401,343,341,283,190
SKU_116,Delhi NCR,1100,1135,285,320,123
SKU_116,Mumbai,465,466,324,325,239
SKU_116,Bengaluru,401,333,286,218,232
SKU_117,Delhi NCR,1132,1144,254,266,92
SKU_117,Mumbai,306,364,242,300,190
SKU_117,Bengaluru,1072,1067,349,344,175
SKU_118,Delhi NCR,455,561,298,404,248
SKU_118,Mumbai,1080,1065,285,270,232
SKU_118,Bengaluru,1172,1274,274,376,160
SKU_119,Delhi NCR,252,219,270,237,181
SKU_119,Mumbai,674,732,283,341,245
SKU_119,Bengaluru,1170,1173,256,259,169
SKU_120,Delhi NCR,411,529,268,386,145
SKU_120,Mumbai,177,215,330,368,99
SKU_120,Bengaluru,624,652,362,390,240
SKU_121,Delhi NCR,178,270,301,393,227
SKU_121,Mumbai,218,158,306,246,165
SKU_121,Bengaluru,629,578,352,301,246
SKU_122,Delhi NCR,165,166,288,289,159
SKU_122,Mumbai,545,510,334,299,219
SKU_122,Bengaluru,422,427,292,297,111
SKU_123,Delhi NCR,233,234,300,301,173
SKU_123,Mumbai,625,699,324,398,113
SKU_123,Bengaluru,1029,1033,333,337,130
SKU_124,Delhi NCR,1072,1026,304,258,246
SKU_124,Mumbai,676,609,272,205,121
SKU_124,Bengaluru,1152,1260,280,388,109
SKU_125,Delhi NCR,989,916,312,239,149
SKU_125,Mumbai,1148,1146,268,266,105
SKU_125,Bengaluru,582,558,348,324,195
SKU_126,Delhi NCR,350,327,276,253,204
SKU_126,Mumbai,994,1028,270,304,219
SKU_126,Bengaluru,680,639,304,263,143
SKU_127,Delhi NCR,1039,1024,357,342,161
SKU_127,Mumbai,457,563,313,419,178
SKU_127,Bengaluru,196,187,259,250,239
SKU_128,Delhi NCR,312,398,292,378,120
SKU_128,Mumbai,1155,1112,329,286,209
SKU_128,Bengaluru,664,766,241,343,224
SKU_129,Delhi NCR,797,941,264,408,193
SKU_129,Mumbai,174,242,340,408,191
SKU_129,Bengaluru,700,745,269,314,182
SKU_130,Delhi NCR,441,402,336,297,183
SKU_130,Mumbai,705,643,352,290,185
SKU_130,Bengaluru,1135,1250,257,372,92
SKU_131,Delhi NCR,818,762,311,255,248
SKU_131,Mumbai,875,905,244,274,224
SKU_131,Bengaluru,364,347,286,269,216
SKU_132,Delhi NCR,976,976,337,337,108
SKU_132,Mumbai,598,656,233,291,209
SKU_132,Bengaluru,545,466,298,219,245
SKU_133,Delhi NCR,1164,1188,275,299,94
SKU_133,Mumbai,978,872,335,229,226
SKU_133,Bengaluru,1052,1083,245,276,96
SKU_134,Delhi NCR,749,729,290,270,98
SKU_134,Mumbai,681,714,273,306,239
SKU_134,Bengaluru,426,539,230,343,219
SKU_135,Delhi NCR,349,296,277,224,179
SKU_135,Mumbai,248,238,269,259,186
SKU_135,Bengaluru,779,708,326,255,222
SKU_136,Delhi NCR,756,637,355,236,135
SKU_136,Mumbai,990,973,286,269,238
SKU_136,Bengaluru,549,687,294,432,82
SKU_137,Delhi NCR,252,322,343,413,236
SKU_137,Mumbai,183,301,285,403,161
SKU_137,Bengaluru,911,909,305,303,112
SKU_138,Delhi NCR,662,774,264,376,201
SKU_138,Mumbai,1198,1351,249,402,179
SKU_138,Bengaluru,1140,1060,350,270,153
SKU_139,Delhi NCR,715,602,317,204,98
SKU_139,Mumbai,1150,1225,289,364,131
SKU_139,Bengaluru,1035,1082,296,343,87
SKU_140,Delhi NCR,616,603,282,269,151
SKU_140,Mumbai,292,428,241,377,91
SKU_140,Bengaluru,590,583,314,307,210
SKU_141,Delhi NCR,1000,863,352,215,120
SKU_141,Mumbai,702,727,331,356,151
SKU_141,Bengaluru,332,224,341,233,111
SKU_142,Delhi NCR,251,249,344,342,139
SKU_142,Mumbai,424,505,272,353,111
SKU_142,Bengaluru,881,885,245,249,190
SKU_143,Delhi NCR,259,137,339,217,118
SKU_143,Mumbai,452,516,328,392,148
SKU_143,Bengaluru,642,689,340,387,93
SKU_144,Delhi NCR,808,863,310,365,90
SKU_144,Mumbai,676,740,314,378,189
SKU_144,Bengaluru,526,434,323,231,200
SKU_145,Delhi NCR,475,495,363,383,139
SKU_145,Mumbai,1043,1112,332,401,168
SKU_145,Bengaluru,829,727,351,249,149
SKU_146,Delhi NCR,267,220,273,226,120
SKU_146,Mumbai,769,749,251,231,119
SKU_146,Bengaluru,270,327,260,317,139
SKU_147,Delhi NCR,189,149,255,215,225
SKU_147,Mumbai,211,275,240,304,104
SKU_147,Bengaluru,733,720,236,223,223
SKU_148,Delhi NCR,643,603,283,243,185
SKU_148,Mumbai,326,485,251,410,100
SKU_148,Bengaluru,969,952,284,267,170
SKU_149,Delhi NCR,905,866,239,200,129
SKU_149,Mumbai,881,946,244,309,198
SKU_149,Bengaluru,785,796,303,314,101
SKU_150,Delhi NCR,975,1027,342,394,151
SKU_150,Mumbai,306,271,277,242,176
SKU_150,Bengaluru,965,1001,330,366,146
SKU_151,Delhi NCR,470,471,289,290,145
SKU_151,Mumbai,786,719,339,272,229
SKU_151,Bengaluru,994,1020,323,349,174
SKU_152,Delhi NCR,835,844,234,243,226
SKU_152,Mumbai,1066,1056,281,271,235
SKU_152,Bengaluru,956,965,277,286,181
SKU_153,Delhi NCR,1076,1073,233,230,154
SKU_153,Mumbai,192,319,266,393,102
SKU_153,Bengaluru,265,237,238,210,210
SKU_154,Delhi NCR,308,313,272,277,123
SKU_154,Mumbai,198,296,325,423,198
SKU_154,Bengaluru,251,110,360,219,175
SKU_155,Delhi NCR,354,365,288,299,101
SKU_155,Mumbai,390,407,245,262,162
SKU_155,Bengaluru,704,756,258,310,114
SKU_156,Delhi NCR,907,879,345,317,129
SKU_156,Mumbai,451,478,311,338,146
SKU_156,Bengaluru,301,278,299,276,112
SKU_157,Delhi NCR,781,721,289,229,198
SKU_157,Mumbai,292,401,310,419,188
SKU_157,Bengaluru,294,391,295,392,117
SKU_158,Delhi NCR,931,914,285,268,160
SKU_158,Mumbai,965,848,329,212,239
SKU_158,Bengaluru,594,549,289,244,125
SKU_159,Delhi NCR,179,332,246,399,193
SKU_159,Mumbai,793,759,340,306,214
SKU_159,Bengaluru,846,912,280,346,214
SKU_160,Delhi NCR,183,86,337,240,200
SKU_160,Mumbai,496,461,338,303,167
SKU_160,Bengaluru,1194,1217,323,346,141
SKU_161,Delhi NCR,791,690,340,239,135
SKU_161,Mumbai,848,950,237,339,178
SKU_161,Bengaluru,994,1093,307,406,140
SKU_162,Delhi NCR,1060,1185,257,382,206
SKU_162,Mumbai,1013,1160,260,407,174
SKU_162,Bengaluru,720,653,283,216,116
SKU_163,Delhi NCR,790,922,250,382,146
SKU_163,Mumbai,1089,1068,323,302,190
SKU_163,Bengaluru,672,650,278,256,234
SKU_164,Delhi NCR,771,830,244,303,153
SKU_164,Mumbai,188,333,261,406,130
SKU_164,Bengaluru,949,942,282,275,235
SKU_165,Delhi NCR,1044,950,338,244,192
SKU_165,Mumbai,687,705,280,298,97
SKU_165,Bengaluru,255,312,320,377,201
SKU_166,Delhi NCR,285,395,320,430,136
SKU_166,Mumbai,603,523,378,298,242
SKU_166,Bengaluru,787,671,375,259,218
SKU_167,Delhi NCR,762,878,243,359,230
SKU_167,Mumbai,996,882,321,207,180
SKU_167,Bengaluru,777,784,301,308,195
SKU_168,Delhi NCR,638,628,378,368,112
SKU_168,Mumbai,550,586,338,374,90
SKU_168,Bengaluru,952,1025,291,364,95
SKU_169,Delhi NCR,897,837,297,237,137
SKU_169,Mumbai,460,538,303,381,99
SKU_169,Bengaluru,174,244,270,340,245
SKU_170,Delhi NCR,495,553,342,400,239
SKU_170,Mumbai,896,799,311,214,197
SKU_170,Bengaluru,956,963,247,254,229
SKU_171,Delhi NCR,800,829,295,324,203
SKU_171,Mumbai,949,877,333,261,144
SKU_171,Bengaluru,834,833,269,268,167
SKU_172,Delhi NCR,971,985,240,254,213
SKU_172,Mumbai,337,326,273,262,180
SKU_172,Bengaluru,701,696,310,305,115
SKU_173,Delhi NCR,1094,1207,300,413,176
SKU_173,Mumbai,1082,1005,312,235,202
SKU_173,Bengaluru,630,701,299,370,228
SKU_174,Delhi NCR,490,467,307,284,205
SKU_174,Mumbai,1109,1012,312,215,207
SKU_174,Bengaluru,899,819,290,210,131
SKU_175,Delhi NCR,695,642,315,262,110
SKU_175,Mumbai,1174,1192,325,343,208
SKU_175,Bengaluru,992,1004,333,345,222
SKU_176,Delhi NCR,976,911,348,283,239
SKU_176,Mumbai,549,553,351,355,143
SKU_176,Bengaluru,404,457,341,394,132
SKU_177,Delhi NCR,374,474,240,340,232
SKU_177,Mumbai,918,987,298,367,149
SKU_177,Bengaluru,1020,969,305,254,247
SKU_178,Delhi NCR,1129,1149,351,371,167
SKU_178,Mumbai,461,415,254,208,132
SKU_178,Bengaluru,792,709,340,257,156
SKU_179,Delhi NCR,253,371,255,373,195
SKU_179,Mumbai,885,815,285,215,198
SKU_179,Bengaluru,510,542,272,304,219
SKU_180,Delhi NCR,562,626,229,293,213
SKU_180,Mumbai,770,658,335,223,139
SKU_180,Bengaluru,609,712,231,334,196
SKU_181,Delhi NCR,257,317,321,381,203
SKU_181,Mumbai,537,408,331,202,190
SKU_181,Bengaluru,979,913,311,245,144
SKU_182,Delhi NCR,628,739,235,346,156
SKU_182,Mumbai,304,228,309,233,167
SKU_182,Bengaluru,1150,1110,288,248,199
SKU_183,Delhi NCR,919,941,257,279,181
SKU_183,Mumbai,513,455,304,246,207
SKU_183,Bengaluru,415,411,300,296,85
SKU_184,Delhi NCR,590,598,270,278,170
SKU_184,Mumbai,937,998,303,364,180
SKU_184,Bengaluru,896,890,241,235,166
SKU_185,Delhi NCR,932,918,263,249,228
SKU_185,Mumbai,891,879,299,287,225
SKU_185,Bengaluru,277,304,332,359,144
SKU_186,Delhi NCR,819,815,294,290,196
SKU_186,Mumbai,466,533,286,353,113
SKU_186,Bengaluru,848,807,300,259,197
SKU_187,Delhi NCR,1117,1037,267,187,215
SKU_187,Mumbai,654,694,262,302,167
SKU_187,Bengaluru,151,125,296,270,150
SKU_188,Delhi NCR,693,683,241,231,155
SKU_188,Mumbai,344,251,324,231,228
SKU_188,Bengaluru,861,994,245,378,88
SKU_189,Delhi NCR,261,158,355,252,210
SKU_189,Mumbai,237,361,300,424,82
SKU_189,Bengaluru,342,373,369,400,216
SKU_190,Delhi NCR,384,344,277,237,177
SKU_190,Mumbai,1013,1172,240,399,153
SKU_190,Bengaluru,215,322,254,361,197
SKU_191,Delhi NCR,677,836,250,409,213
SKU_191,Mumbai,943,941,328,326,141
SKU_191,Bengaluru,371,389,279,297,218
SKU_192,Delhi NCR,1010,1094,282,366,86
SKU_192,Mumbai,224,295,249,320,115
SKU_192,Bengaluru,1165,1050,350,235,154
SKU_193,Delhi NCR,328,390,314,376,111
SKU_193,Mumbai,446,392,305,251,149
SKU_193,Bengaluru,391,486,280,375,142
SKU_194,Delhi NCR,1155,1241,268,354,243
SKU_194,Mumbai,392,372,269,249,202
SKU_194,Bengaluru,150,80,310,240,193
SKU_195,Delhi NCR,1033,1099,265,331,246
SKU_195,Mumbai,164,293,263,392,211
SKU_195,Bengaluru,626,606,240,220,86
SKU_196,Delhi NCR,863,832,269,238,150
SKU_196,Mumbai,486,478,256,248,126
SKU_196,Bengaluru,733,704,236,207,214
SKU_197,Delhi NCR,611,676,333,398,160
SKU_197,Mumbai,284,318,287,321,230
SKU_197,Bengaluru,847,757,295,205,173
SKU_198,Delhi NCR,900,841,286,227,245
SKU_198,Mumbai,412,471,361,420,196
SKU_198,Bengaluru,672,614,285,227,203
SKU_199,Delhi NCR,999,1064,232,297,178
SKU_199,Mumbai,900,929,273,302,245
